的	〔白勹丶 · unid〕
𦖊	〔耳大可 · qmzk〕
𦖋	〔耳千艹士 · qllg〕
𦖌	〔耳 · qihb〕
𦖍	〔耳田木 · qqem〕
𦖎	〔耳戈亼乛 · qpja〕
𦖏	〔耳人人人 · qjjj〕
𦖐	〔耳卩 · qazj〕
𦖑	〔耳宀且 · qwfq〕
𦖒	〔⻊亻戈十 · pjpn〕
𦖓	〔耳二ㄅ · qema〕
𦖔	〔耳大丷ㄅ · qmha〕
𦖕	〔耳 · qrf〕
𦖖	〔耳虎 · qzh〕
𦖗	〔爫木耳 · yeqe〕
𦖘	〔耳人 · qjas〕
𦖙	〔耳臼一ㄅ · qpfa〕
𦖚	〔耳臼又 · qpry〕
𦖛	〔耳丿田ㄅ · qtqa〕
𦖜	〔土疋耳 · gtqe〕
𦖝	〔木冂刂耳 · empq〕
𦖞	〔氏日耳 · boqe〕
𦖟	〔耳勹心 · qneh〕
𦖠	〔耳火火 · qcch〕
𦖡	〔耳白勹丶 · quni〕
𦖢	〔耳音 · qxy〕
𦖣	〔耳酉 · qhyy〕
𦖤	〔耳日生 · qols〕
𦖥	〔⺊又耳 · yirq〕
𦖦	〔耳頁 · qwy〕
𦖧	〔耳匸日女 · qnob〕
𦖨	〔束刂耳 · xpqe〕
𦖩	〔而大耳 · lmqe〕
𦖪	〔耳穴人又 · qejr〕
𦖫	〔民日耳 · doqe〕
𦖬	〔耳八一皿 · qhfa〕
𦖭	〔耳亼⺝刂 · qjvp〕
𦖮	〔耳方𠂉也 · qlee〕
𦖯	〔耳丶丿灬 · qitc〕
𦖰	〔耳又束 · qrxs〕
𦖱	〔耳十戈口 · qnpd〕
𦖲	〔耳二又 · qcmr〕
𦖳	〔耳臼丨ㄅ · qpga〕
𦖴	〔彳人人耳 · wjjq〕
𦖵	〔耳爫一又 · qyfr〕
𦖶	〔耳丿且丶 · qtfi〕
𦖷	〔田心耳 · qhqe〕
𦖸	〔耳㐅凵夊 · qbmh〕
𦖹	〔耳夕⺋灬 · qlzc〕
𦖺	〔耳䒑幺幺 · qhii〕
𦖻	〔耳田心 · qqhx〕
𦖼	〔耳 · qfg〕
𦖽	〔火火冖耳 · ccwq〕
𦖾	〔耳䒑 · qhbc〕
𦖿	〔耳⺿亼口 · qljd〕
𦗀	〔耳十 · qnqh〕
𦗁	〔目㇗耳 · vqaq〕
𦗂	〔耳而心 · qlhx〕
𦗃	〔耳心丿皿 · qhta〕
𦗄	〔耳䒑辶 · qhsu〕
𦗅	〔耳⺷儿厶 · qgpk〕
𦗆	〔耳大丷乚 · qmha〕
𦗇	〔耳韋 · qgw〕
𦗈	〔耳山一攵 · qvfh〕
𦗉	〔耳⺿艹 · qllu〕
𦗊	〔矢丶王耳 · oinq〕
𦗋	〔耳宀谷 · qwhg〕
𦗌	〔耳爫臼 · qypj〕
𦗍	〔耳冖方 · qiwl〕
𦗎	〔耳夕⺋田 · qlzq〕
𦗏	〔耳丶阝 · qiit〕
𦗐	〔耳豕 · qijs〕
𦗑	〔耳冂古 · qimc〕
𦗒	〔耳子阝 · qght〕
𦗓	〔耳鹿 · qxl〕
𦗔	〔耳巛田木 · qoqe〕
𦗕	〔⿇耳 · zqe〕
𦗖	〔耳羽人彡 · qzje〕
𦗗	〔耳羽白 · qzub〕
𦗘	〔耳又⺿大 · qrlm〕
𦗙	〔土八土耳 · ghgq〕
𦗚	〔車斤耳 · ytqe〕
𦗛	〔耳匸口口 · qndd〕
𦗜	〔耳彳人龰 · qwjs〕
𦗝	〔耳車斤 · qytj〕
𦗞	〔耳宀大可 · qwmz〕
𦗟	〔耳十罒心 · qnyh〕
𦗠	〔耳隹灬 · quch〕
𦗡	〔耳覀日十 · qvon〕
𦗢	〔耳羊䒑口 · qghd〕
𦗣	〔耳黑 · qph〕
𦗤	〔立⺝巳耳 · ivvq〕
𦗥	〔㡀攵耳 · fhqe〕
𦗦	〔金氏耳 · zbqe〕
𦗧	〔耳⺮亼口 · qrjd〕
𦗨	〔耳毛毛 · qvvv〕
𦗩	〔耳覀二火 · qvmc〕
𦗪	〔耳乛耳攵 · qaqh〕
𦗫	〔耳⺿ · qltv〕
𦗬	〔耳門日 · qaor〕
𦗭	〔彡耳 · heqe〕
𦗮	〔耳止止止 · qsss〕
𦗯	〔耳⺈厂口 · qxxd〕
𦗰	〔耳宀一丁 · qwfa〕
𦗱	〔耳未戊㇆ · qana〕
𦗲	〔耳米夕㐄 · qplv〕
𦗳	〔耳曲辰 · qyfc〕
𦗴	〔耳田 · qsqt〕
𦗵	〔耳口口木 · qdde〕
𦗶	〔丨冖耳 · pgwq〕
𦗷	〔屮凵方耳 · smlq〕
𦗸	〔耳彳山攵 · qwvh〕
𦗹	〔耳亼口人 · qjdj〕
𦗺	〔支耳 · hcqe〕
𦗻	〔耳口口辶 · qddu〕
𦗼	〔亼口口耳 · jddq〕
𦗽	〔耳疒白丶 · qaui〕
𦗾	〔金舌耳 · zaqe〕
𦗿	〔艹月月耳 · lvvq〕
𦘀	〔耳匕矢疋 · qvot〕
𦘁	〔耳門耳 · qaqe〕
𦘂	〔耳糹白巾 · qiur〕
𦘃	〔艹月月耳 · lvvq〕
𦘄	〔耳辛豕 · qnjs〕
𦘅	〔耳广黃 · qxnh〕
𦘆	〔耳貝 · qsob〕
𦘇	〔耳彳山攵 · qwvh〕
𦘈	〔耳白幺木 · quie quie〕
𦘉	〔金氏口耳 · zbdq〕
𦘊	〔耳厂禾止 · qxxs〕
𦘋	〔耳人貝 · qpjo〕
𦘌	〔金氏日耳 · zboq〕
𦘍	〔耳門癶大 · qahm〕
𦘎	〔耳一人雨 · qfjt〕
𦘏	〔十耳王心 · nqnh〕
𦘐	〔耳一鹿 · qfvx〕
𦘑	〔耳門乛攵 · qaah〕
𦘒	〔𦘒 · bv〕
𦘓	〔聿力 · bsl〕
𦘔	〔聿彡 · bes〕
𦘕	〔聿冂人一 · bmjf〕
𦘖	〔歺聿 · gbv〕
𦘗	〔矢聿 · obv〕
𦘘	〔聿冂日 · bmor〕
𦘙	〔曰凵 · bomk〕
𦘚	〔冂人凵 · bmjm〕
𦘛	〔聿心卪 · bhzj〕
𦘜	〔聿心卪 · bhzj〕
𦘝	〔聿冂心卩 · bmhz〕
𦘞	〔氺聿 · bkbv〕
𦘟	〔戶攴聿 · mhbv〕
𦘠	〔聿耂日 · bqor〕
𦘡	〔肀冂心卪 · bmhz〕
𦘢	〔曰丶 · boik〕
𦘣	〔田一 · bqfu〕
𦘤	〔𦘒 · baab〕
𦘥	〔户口戈聿 · mdpb〕
𦘦	〔户口攵聿 · mdhb〕
𦘧	〔尸毛一 · cvbf〕
𦘨	〔聿勹 · bnee〕
𦘩	〔月八 · vhb〕
𦘪	〔月 · vvb〕
𦘫	〔冖冂人人 · wmjj〕
𦘬	〔又冂人人 · rmjj〕
𦘭	〔月丁 · vad〕
𦘮	〔⺼㇆乚 · vaae〕
𦘯	〔⺼厶 · vks〕
𦘰	〔月一ㄅ · vfae〕
𦘱	〔月卜 · vyb〕
𦘲	〔月入 · vju〕
𦘳	〔月乚乚 · vaae〕
𦘴	〔月丿七 · vtrq〕
𦘵	〔月一九 · vfkj〕
𦘶	〔月川 · voc〕
𦘷	〔月幺 · viy〕
𦘸	〔月⺊乙 · vyai〕
𦘹	〔月山 · vvs〕
𦘺	〔月巳 · vvs〕
𦘻	〔亡冂人人 · fmjj〕
𦘼	〔二ㄅ月 · mavy〕
𦘽	〔冂人人女 · mjjb〕
𦘾	〔冂人人丶 · mjji〕
𦘿	〔月又 · vpry〕
𦙀	〔月⺁又 · vxry〕
𦙁	〔月一彑 · vfbj〕
𦙂	〔不冂人人 · cmjj〕
𦙃	〔口乚⺝ · davy〕
𦙄	〔㐅凵⺼ · bmvy〕
𦙅	〔月户 · vmh〕
𦙆	〔月氏 · vbs〕
𦙇	〔月冂二 · vmme〕
𦙈	〔月九十 · vkns〕
𦙉	〔月又几 · vroj〕
𦙊	〔火⺝ · cvy〕
𦙋	〔月𠂉 · vevb〕
𦙌	〔幺⺝乚 · ivae〕
𦙍	〔丿幺⺝ · tivy〕
𦙎	〔冖⺊⺝ · wyvy〕
𦙏	〔月山乙 · vvai〕
𦙐	〔⺼亼㇗ · vjae〕
𦙑	〔勹⺼ · nevy〕
𦙒	〔⺼斗 · vjd〕
𦙓	〔⺼𠂇又 · vnry〕
𦙔	〔爫⺼ · yvy〕
𦙕	〔⺼八乃 · vhvn〕
𦙖	〔一大⺼ · fmvy〕
𦙗	〔月五 · vwu〕
𦙘	〔月一幺 · vfiy〕
𦙙	〔月水 · vks〕
𦙚	〔龵月 · uvy〕
𦙛	〔月一冂乚 · vfma〕
𦙜	〔月⺁⺋ · vxzj〕
𦙝	〔月八丁 · vhad〕
𦙞	〔月㐅凵 · vbmk〕
𦙟	〔文⺼ · vvy〕
𦙠	〔月弓一 · vbfi〕
𦙡	〔止冂人人 · smjj〕
𦙢	〔冂人人丨 · mjjg〕
𦙣	〔月木 · vem〕
𦙤	〔月毛 · vvm〕
𦙥	〔月子乚 · vhae〕
𦙦	〔月心 · vhx〕
𦙧	〔冂人人丿 · mjjt〕
𦙨	〔月弓丨 · vbgs〕
𦙩	〔耂冂人人 · qmjj〕
𦙪	〔户⺝ · mvy〕
𦙫	〔月一止 · vfsi〕
𦙬	〔月疋 · vts〕
𦙭	〔月夂⺀ · vhwb〕
𦙮	〔月穴 · vex〕
𦙯	〔亻弋⺼ · jpvy〕
𦙰	〔月亻士 · vjgs〕
𦙱	〔月冊 · vic〕
𦙲	〔力口冂人 · sdmj〕
𦙳	〔月𠂉小 · veyx〕
𦙴	〔月丶王 · vinw〕
𦙵	〔夕⺋⺼ · lzvy〕
𦙷	〔月尸九 · vckj〕
𦙸	〔月用 · vty〕
𦙹	〔月尸乂 · vcbi〕
𦙺	〔力口⺼ · sdvy〕
𦙻	〔月一火 · vfch〕
𦙼	〔匕⺼ · svvy〕
𦙽	〔月册 · vic〕
𦙾	〔月又土 · vrgt〕
𦙿	〔⺼口儿 · vdpe〕
𦚀	〔⺼又 · vvry〕
𦚁	〔⺼大厶 · vmks〕
𦚂	〔⺼夕又 · vlry〕
𦚃	〔⺼屮儿 · vspe〕
𦚄	〔⺼大十 · vmns〕
𦚅	〔夂卜⺼ · hyvy〕
𦚆	〔冂人人皮 · mjjr〕
𦚇	〔予丿冂人 · itmj〕
𦚈	〔月石 · vms〕
𦚉	〔大丷⺝ · mhvy〕
𦚊	〔月口一ㄅ · vdfa〕
𦚋	〔罒⺝ · yvy〕
𦚌	〔⺁一乙月 · xfav〕
𦚍	〔亠⺌⺝ · zyvy〕
𦚎	〔立⺼ · ivy〕
𦚏	〔立⺝ · ivy〕
𦚐	〔月宀匕 · vwvb〕
𦚑	〔户一冂二 · mfmm〕
𦚒	〔冂人人厶 · mjjk〕
𦚓	〔冂人人 · mjju〕
𦚔	〔月刀口 · vpdk〕
𦚕	〔月甘 · vzg〕
𦚖	〔月丿之 · vtri〕
𦚗	〔月匚巾 · vnrj〕
𦚘	〔亻士冂人 · jgmj〕
𦚙	〔入冂人士 · jmjg〕
𦚚	〔月匕 · vsvb〕
𦚛	〔歺冂人人 · gmjj〕
𦚜	〔⺼一木 · vfem〕
𦚝	〔月冫水 · vwks〕
𦚞	〔月匚王 · vnnw〕
𦚟	〔月 · vqc〕
𦚠	〔月臣 · vqc〕
𦚡	〔月丿皿 · vtam〕
𦚢	〔月日匕 · vovb〕
𦚣	〔月艮 · vig〕
𦚤	〔月曰人 · vojr〕
𦚥	〔月缶 · vaf〕
𦚦	〔月乛水一 · vakf〕
𦚧	〔月勹日 · vnor〕
𦚨	〔丰刀冂人 · apmj〕
𦚩	〔月几木 · voem〕
𦚪	〔月巳廾 · vvlc〕
𦚫	〔月士大 · vgmd〕
𦚬	〔月木十 · vens〕
𦚭	〔月虫 · vcc〕
𦚮	〔亻㇒士人 · jtgj〕
𦚯	〔儿⺝ · pbvy〕
𦚰	〔月刀刀刀 · vppp〕
𦚱	〔月老 · vql〕
𦚲	〔⺼龴ヿ土 · vkag〕
𦚳	〔⺼儿 · vbpe〕
𦚴	〔龷八⺼ · lhvy〕
𦚵	〔⺼西 · vvx〕
𦚶	〔亼口⺼ · jdvy〕
𦚷	〔亼口冂人 · jdmj〕
𦚸	〔月一日一 · vfof〕
𦚹	〔月一月一 · vfvf〕
𦚺	〔月止廴 · vsuy〕
𦚻	〔月 · vic〕
𦚼	〔月曲 · vyq〕
𦚽	〔月口己 · vdvj〕
𦚾	〔亠㐅凵⺝ · zbmv〕
𦚿	〔月䒑巾 · vhrj〕
𦛀	〔月火又 · vcry〕
𦛁	〔月巛山 · vovs〕
𦛂	〔冂心冂人 · mhmj〕
𦛃	〔冂人人各 · mjjs〕
𦛄	〔亠㐅凵人 · zbmj〕
𦛅	〔冂人人女 · mjjb〕
𦛆	〔乛水一人 · akfj〕
𦛇	〔冫人人 · wnjj〕
𦛈	〔月曰㇂丿 · voat〕
𦛉	〔月口巾 · vdrj〕
𦛊	〔月𠂇丨子 · vngh〕
𦛋	〔月士口 · vgdk〕
𦛌	〔月聿 · vbv〕
𦛍	〔月一冂土 · vfmg〕
𦛎	〔月山巾 · vvrj〕
𦛏	〔月大土 · vmgt〕
𦛐	〔月⺁巴 · vxmb〕
𦛑	〔月コヿ土 · vnag〕
𦛒	〔月𠂇⺝ · vnvy〕
𦛓	〔月臼 · vpj〕
𦛔	〔月𠂉疋 · vets〕
𦛕	〔月土厶力 · vgks〕
𦛖	〔月耳㇗ · vqae〕
𦛗	〔⺼口丿口 · vdtd〕
𦛘	〔月土 · vgch〕
𦛙	〔月戊㇆ · vnae〕
𦛚	〔月冂人口 · vmjd〕
𦛛	〔月辛 · vnx〕
𦛜	〔月亽口 · vjad〕
𦛝	〔人冂人 · jxmj〕
𦛞	〔月口巴 · vdmb〕
𦛟	〔月一日 · vfob〕
𦛠	〔月日土 · vogt〕
𦛡	〔月犭火 · vmch〕
𦛢	〔月囗王 · vrnw〕
𦛣	〔月走 · vpz〕
𦛤	〔月白八 · vuhb〕
𦛥	〔月丶乂丰 · viba〕
𦛦	〔月犭勹 · vmne〕
𦛧	〔月夂火 · vhch〕
𦛩	〔⺼⺧口 · vqdk〕
𦛪	〔⺼矢卩 · vozj〕
𦛫	〔了又月 · irrv〕
𦛬	〔幺又⺼ · iirv〕
𦛭	〔⺼日巾 · vorj〕
𦛮	〔⺼白儿 · vupe〕
𦛯	〔石又⺝ · mrvy〕
𦛰	〔月𠂉乙辶 · veau〕
𦛱	〔月谷 · vhg〕
𦛲	〔月⺈用 · vxty〕
𦛳	〔月勹屮凵 · vnsm〕
𦛴	〔月勹凵 · vnms〕
𦛵	〔月刂又口 · vprd〕
𦛶	〔冂人人卩 · mjjz〕
𦛷	〔冂人人寸 · mjjk〕
𦛸	〔月龴 · vkty〕
𦛹	〔戈冂人 · upmj〕
𦛺	〔月口力刂 · vdsp〕
𦛻	〔月木寸 · vekc〕
𦛼	〔月 · vthb〕
𦛽	〔月口亽 · vdja〕
𦛾	〔月忄ヿ土 · vhag〕
𦛿	〔月艹亡 · vlfw〕
𦜀	〔月口犬 · vdmq〕
𦜁	〔冂人人丰 · mjja〕
𦜂	〔月夂⺝ · vhvy〕
𦜃	〔月日大 · vomd〕
𦜄	〔月日夊 · vohi〕
𦜅	〔月阝 · vate〕
𦜆	〔月乛氺凵 · vakm〕
𦜇	〔月尸屮凵 · vcsm〕
𦜈	〔月木 · vbem〕
𦜉	〔月甲丨十 · vsgn〕
𦜊	〔月冖八木 · vwhe〕
𦜋	〔月牛巾刂 · vqrp〕
𦜌	〔月臣又 · vqry〕
𦜍	〔月方攵 · vlhp〕
𦜎	〔月乛水三 · vakt〕
𦜏	〔月戶犬 · vmmq〕
𦜐	〔月宀㠯 · vwki〕
𦜑	〔戶攵冂人 · mhmj〕
𦜒	〔月一火夊 · vfch〕
𦜓	〔月斤欠 · vteq〕
𦜔	〔月土米 · vgpm〕
𦜕	〔月乛水⺋ · vakz〕
𦜖	〔月一 · vfcy〕
𦜗	〔牛巾刂⺝ · qrpv〕
𦜘	〔月爫子乚 · vyha〕
𦜙	〔月㇒士心 · vtgh〕
𦜚	〔支又又⺝ · crrv〕
𦜛	〔月户勹九 · vmnk〕
𦜜	〔臣又冂人 · qrmj〕
𦜝	〔月斉 · vqq〕
𦜞	〔月㐅龷八 · vblh〕
𦜟	〔⺼丶不口 · vicd〕
𦜠	〔⺼田丌 · vqlc〕
𦜡	〔⺼火 · vvch〕
𦜢	〔⺼文⺼ · vvvy〕
𦜣	〔⺼土八土 · vghg〕
𦜤	〔⺼𠂇二月 · vnmv〕
𦜥	〔⺼山亼龴 · vvjk〕
𦜦	〔⺼口丨心 · vdgh〕
𦜧	〔⺼巴 · vomb〕
𦜨	〔⺼止⺼ · vsvy〕
𦜩	〔⺼勹心 · vneh〕
𦜪	〔月廿木 · vlem〕
𦜫	〔月廿木 · vlem〕
𦜬	〔月艹冂人 · vlmj〕
𦜭	〔月大十廾 · vmnl〕
𦜮	〔月大丷ㄅ · vmha〕
𦜯	〔月一灬 · vfsc〕
𦜰	〔月⺊日十 · vyon〕
𦜱	〔月八虫 · vhcc〕
𦜲	〔月亽云 · vjab〕
𦜳	〔月月月 · vvvy〕
𦜴	〔月殳⺝ · vrvy〕
𦜵	〔月夂卜口 · vhyd〕
𦜶	〔月亠勹方 · vznl〕
𦜷	〔月忄一日 · vhfo〕
𦜸	〔月宀豕 · vwjs〕
𦜹	〔戶攴⺼ · mhvy〕
𦜺	〔月彐𠂇丶 · vbni〕
𦜻	〔月ヿ土土 · vagg〕
𦜼	〔月彑巾 · vber〕
𦜽	〔冂人人乚 · mjja〕
𦜾	〔牛巾刂人 · qrpj〕
𦜿	〔冂人人臼 · mjjp〕
𦝀	〔月大示 · vmfs〕
𦝁	〔月 · vzhb〕
𦝂	〔月白勹丶 · vuni〕
𦝃	〔月木木 · veem〕
𦝄	〔月土八夊 · vghh〕
𦝅	〔月八刀心 · vhph〕
𦝆	〔月爿木 · vaem〕
𦝇	〔月忄日一 · vhof〕
𦝈	〔月日厂人 · voxj〕
𦝉	〔月广氏丶 · vxbi〕
𦝊	〔月一辶 · vfsu〕
𦝋	〔月門 · vam〕
𦝌	〔月氵土厶 · vkgk〕
𦝍	〔爿木冂人 · aemj〕
𦝎	〔氵土厶人 · kgkj〕
𦝏	〔月十田 · vnqk〕
𦝐	〔月大卯 · vmbm〕
𦝑	〔月⺝ · vbvy〕
𦝒	〔月耳又 · vqry〕
𦝓	〔月冂米 · vmpm〕
𦝔	〔月矢口 · vodk〕
𦝕	〔厶⺝口口 · kvdd〕
𦝖	〔月口乚⺝ · vdav〕
𦝗	〔月阝亻寸 · vtjk〕
𦝘	〔冂人人⺋ · mjjz〕
𦝙	〔龷日冂人 · lomj〕
𦝚	〔月乃又皿 · vvra〕
𦝛	〔月韋 · vgw〕
𦝜	〔月丰刀大 · vapm〕
𦝝	〔⺼⺈大 · vxmm〕
𦝞	〔月丁 · vgad〕
𦝟	〔月厂里 · vxdl〕
𦝠	〔亡口月十 · fdvn〕
𦝡	〔月亼口廾 · vjdl〕
𦝢	〔月癶一大 · vhfm〕
𦝣	〔月宀各 · vwsg〕
𦝤	〔月䒑业 · vhcy〕
𦝥	〔月千臼 · vlpj〕
𦝦	〔月𠂇工⺝ · vnuv〕
𦝧	〔月㇗ · vzha〕
𦝨	〔月匕白 · vvvu〕
𦝩	〔月田⺝ · vqvy〕
𦝪	〔月覀土 · vvgt〕
𦝫	〔覀女⺼ · vbvy〕
𦝬	〔月穴犬 · vemq〕
𦝭	〔丿㠯巾⺼ · tkrv〕
𦝮	〔月民日 · vdor〕
𦝯	〔月大羊 · vmgy〕
𦝰	〔月勹心 · vneh〕
𦝱	〔月丷酉 · vhyy〕
𦝲	〔⺼曰勹亾 · vonf〕
𦝳	〔月目犬 · vqmq〕
𦝴	〔月人镸 · vjpc〕
𦝵	〔月𠓛小口 · vjyd〕
𦝶	〔月山山山 · vvvv〕
𦝷	〔月尸䒑廾 · vchl〕
𦝸	〔十彡月 · neve〕
𦝹	〔月门㐅朩 · vabe〕
𦝺	〔⺼⺷大 · vgmd〕
𦝻	〔⺼宀一一 · vwff〕
𦝽	〔不一止⺼ · cfsv〕
𦝾	〔⺼巳冂人 · vvmj〕
𦝿	〔⺼⺊口灬 · vydc〕
𦞀	〔⺼厶口攵 · vkdh〕
𦞁	〔月十戈口 · vnpd〕
𦞂	〔月艹亼口 · vljd〕
𦞃	〔月大丷⺗ · vmhh〕
𦞄	〔山山山⺼ · vvvv〕
𦞅	〔囗⺝ · rpvy〕
𦞆	〔月臼土 · vpgt〕
𦞇	〔月丿口⽱ · vtdv〕
𦞈	〔月亻矢 · vjno〕
𦞉	〔冂人人白 · mjju〕
𦞊	〔冂人人巾 · mjjr〕
𦞋	〔彐彐一人 · bbfj〕
𦞌	〔月忄一一 · vhff〕
𦞍	〔言十冂人 · snmj〕
𦞎	〔月厂彡 · vixe〕
𦞏	〔戊一女人 · nfbj〕
𦞐	〔月虍 · vzbj〕
𦞑	〔月不皿 · vcam〕
𦞒	〔月彳土寸 · vwgk〕
𦞓	〔月氵⺁ · vkxt〕
𦞔	〔月忄光 · vhmg〕
𦞕	〔月⺈厂矢 · vxxo〕
𦞖	〔月龵目 · vuqm〕
𦞗	〔月罒𠂇厶 · vynk〕
𦞘	〔冂人人廴 · mjju〕
𦞙	〔月鬼 · vag〕
𦞚	〔月尸⺌⺝ · vcyv〕
𦞛	〔月人口 · vjmd〕
𦞜	〔月自心 · vohx〕
𦞝	〔月气米 · vvpm〕
𦞞	〔月龴囗 · vkrg〕
𦞟	〔月心丿皿 · vhta〕
𦞠	〔月隹十 · vuns〕
𦞡	〔月巛口巴 · vodm〕
𦞢	〔月囗豕 · vrjs〕
𦞣	〔月又丶虫 · vric〕
𦞤	〔月宀辛 · vwnx〕
𦞥	〔月一幺土 · vfig〕
𦞦	〔月冖隹 · vwui〕
𦞧	〔月田 · vbqt〕
𦞨	〔⺼宀口口 · vwdd〕
𦞩	〔幺⺝ · pivy〕
𦞪	〔月乛水灬 · vakc〕
𦞫	〔宀⺼ · wqhv〕
𦞬	〔月虍攵 · vzhp〕
𦞭	〔月瓜 · veyg〕
𦞮	〔月䒑辶 · vhsu〕
𦞯	〔月老日 · vqor〕
𦞰	〔月覀木 · vvem〕
𦞱	〔冂人人鬼 · mjja〕
𦞲	〔月屮一虫 · vsfc〕
𦞳	〔月宀谷 · vwhg〕
𦞴	〔月大丷乚 · vmha〕
𦞵	〔⺼白大十 · vumn〕
𦞶	〔⺼一口夊 · vfdh〕
𦞷	〔⺼宀日女 · vwob〕
𦞸	〔⺼䒑廾辶 · vhlu〕
𦞹	〔⺼辰寸 · vfkc〕
𦞺	〔⺼山一攵 · vvfh〕
𦞻	〔⺼⺿日十 · vlon〕
𦞼	〔⺼爫缶 · vyaf〕
𦞽	〔月骨 · vfg〕
𦞾	〔月隹乃 · vuvn〕
𦞿	〔月爫又手 · vyru〕
𦟀	〔亡口月 · fdvu〕
𦟁	〔亡囗八月 · frhv〕
𦟂	〔月米辶 · vpuc〕
𦟃	〔月爿羊 · vagy〕
𦟄	〔月又又木 · vrre〕
𦟅	〔月厶厶木 · vkke〕
𦟆	〔一止罒⺝ · fsyv〕
𦟇	〔月禾匕 · vxav〕
𦟈	〔月宀丰口 · vwad〕
𦟉	〔月疒甘 · vazg〕
𦟊	〔月酉己 · vyvj〕
𦟋	〔月亻立口 · vjid〕
𦟌	〔月尸龷 · vclt〕
𦟍	〔月艹亥 · vlkh〕
𦟎	〔⺶工冂人 · gumj〕
𦟏	〔月广車 · vxyc〕
𦟐	〔月馬 · vnm〕
𦟑	〔月亻大可 · vjmz〕
𦟒	〔一月⺋ · fsvz〕
𦟓	〔月卩又⺝ · vzrv〕
𦟔	〔月至夊 · vyhi〕
𦟕	〔月厂氏日 · vxbo〕
𦟖	〔冂人人馬 · mjjn〕
𦟗	〔月又隹 · vrui〕
𦟘	〔月宀一八 · vwfh〕
𦟙	〔月豕灬 · vjch〕
𦟚	〔月虍豆 · vzzd〕
𦟛	〔月广肀 · vxbt〕
𦟜	〔月龶貝 · vaob〕
𦟝	〔亻人人⺝ · jjjv〕
𦟞	〔月自冫十 · vown vokn〕
𦟟	〔月麻 · vzm〕
𦟠	〔月戊⺊小 · vnyy〕
𦟡	〔白匕旡人 · uvdj〕
𦟢	〔月豕日 · vjor〕
𦟣	〔月丿囗夊 · vtrh〕
𦟤	〔月⺶ヿ土 · vgag〕
𦟥	〔月豕辶 · vjuc〕
𦟦	〔冂人人大 · mjjm〕
𦟧	〔月一口 · vqfd〕
𦟨	〔月亠㐅夊 · vzbh〕
𦟩	〔⺼大乚 · vmpa〕
𦟪	〔⺼車辶 · vyuc〕
𦟫	〔⺼廿口夫 · vldh〕
𦟬	〔⺼十人彡 · vnje〕
𦟭	〔月力 · vsps〕
𦟮	〔月艹犬廾 · vlml〕
𦟯	〔月革力 · vtsl〕
𦟰	〔月虍且 · vzfq〕
𦟱	〔月宀亻白 · vwju〕
𦟲	〔門口⺝ · advy〕
𦟳	〔月巛田木 · voqe〕
𦟴	〔火火冖人 · ccwj〕
𦟵	〔月艹爫子 · vlyh〕
𦟶	〔月米⺊口 · vpyd〕
𦟷	〔月立口 · vgid〕
𦟸	〔月氵亠 · vkzv〕
𦟹	〔月山侖 · vvjl〕
𦟺	〔月扌土卜 · vugy〕
𦟻	〔月匸艹口 · vnld〕
𦟼	〔月門丿 · vant〕
𦟽	〔月宀心山 · vwhv〕
𦟾	〔月匸口口 · vndd〕
𦟿	〔月土隹 · vgui〕
𦠀	〔月⺌一斤 · vyft〕
𦠁	〔火束 · vcxs〕
𦠂	〔鳥冂人人 · xmjj〕
𦠃	〔齐⺼ · qvy〕
𦠄	〔月幺幺丶 · viii〕
𦠅	〔月彐工寸 · vbuk〕
𦠆	〔月巳巳八 · vvvh〕
𦠇	〔月丷囗曰 · vhro〕
𦠈	〔⺼予丿口 · vitd〕
𦠉	〔月士冖豆 · vgwz〕
𦠊	〔月止止止 · vsss〕
𦠋	〔厶口辛⺼ · kdnv〕
𦠌	〔月而而 · vlle〕
𦠍	〔月口口 · vdds〕
𦠎	〔月犬犬犬 · vmmm〕
𦠏	〔月大耂日 · vmqo〕
𦠐	〔月龷⺝攵 · vlvh〕
𦠑	〔月厂䒑欠 · vxhe〕
𦠒	〔厂䒑⺼ · xhsv〕
𦠓	〔厂禾禾⺼ · xxxv〕
𦠔	〔月山示斤 · vvft〕
𦠕	〔口冂人 · qdmj〕
𦠖	〔月十口巳 · vndv〕
𦠗	〔人人人⺼ · jjjv〕
𦠘	〔户⺝木人 · mvej〕
𦠙	〔⺼山目 · vvcq〕
𦠚	〔⺼丿大口 · vtmd〕
𦠛	〔月夫夫曰 · vhho〕
𦠜	〔月艹一 · vlfu〕
𦠝	〔月田 · vbqt〕
𦠞	〔㡀攵⺼ · fhvy〕
𦠟	〔月山二斤 · vvmt〕
𦠠	〔月山二斤 · vvmt〕
𦠡	〔人人人⺝ · jjjv〕
𦠢	〔月小尤 · vgyo〕
𦠣	〔月⺝攵 · vbvh〕
𦠤	〔月心心心 · vhhh〕
𦠥	〔月門月 · vavy〕
𦠦	〔月⺪ · vtbo〕
𦠧	〔月羽人⺗ · vzjh〕
𦠨	〔月厶厶⺗ · vkkh〕
𦠩	〔厂禾禾人 · xxxj〕
𦠪	〔人人人人 · jjjj〕
𦠫	〔衤刀生人 · tplj〕
𦠬	〔厶口辛人 · kdnj〕
𦠭	〔月斤 · vzht〕
𦠮	〔至至⺝ · yyvy〕
𦠯	〔月門木 · vaem〕
